Title,year
Dracula 2000,2000
Friday the 13th: The Final Chapter,1984
The Last House on the Left,2009
Annihilation,I 2018
Don't Breathe 2,2021
Darkness Falls,2003
Unfriended,2014
Paranormal Activity: The Marked Ones,2014
Bride of Chucky,1998
Anacondas: The Hunt for the Blood Orchid,2004
The Lost Boys,1987
The Lawnmower Man,1992
House of Wax,2005
Psycho,1960
Lake Placid,1999
Quarantine,2008
House at the End of the Street,2012
From Hell,2001
The Eye,2008
The Mortal Instruments: City of Bones,2013
Crimson Peak,2015
The Texas Chain Saw Massacre,1974
Mirrors,I 2008
Predator 2,1990
Open Water,2003
Deliver Us from Evil,I 2014
Slender Man,2018
An American Werewolf in London,1981
Halloween: Resurrection,2002
Underworld: Blood Wars,2016
Queen of the Damned,2002
Life,I 2017
Ghost Ship,2002
Daybreakers,2009
A Nightmare on Elm Street 2: Freddy's Revenge,1985
Lincoln,2012
Apollo 13,I 1995
Hidden Figures,2016
Straight Outta Compton,2015
The King's Speech,2010
Troy,2004
Seabiscuit,2003
The Patriot,2000
Black Hawk Down,2001
Robin Hood,2010
Public Enemies,2009
Schindler's List,1993
Zero Dark Thirty,2012
Valkyrie,2008
21,2008
War Horse,2011
We Were Soldiers,2002
The Monuments Men,2014
Braveheart,1995
Ben-Hur,1959
Bridge of Spies,2015
All the President's Men,1976
JFK,1991
World Trade Center,2006
The Big Short,2015
Cool Runnings,1993
Hacksaw Ridge,2016
Charlie Wilson's War,2007
Miracle,2004
Deepwater Horizon,2016
The Good Shepherd,2006
Secretariat,2010
Cleopatra,1963
Midway,2019
12 Years a Slave,2013
Tombstone,1993
Hero,2002
13 Hours,2016
Selma,2014
King Arthur,2004
A Bridge Too Far,1977
Red Tails,2012
Malcolm X,1992
Munich,2005
Kingdom of Heaven,2005
12 Strong,2018
First Man,2018
Amistad,1997
The Last Emperor,1987
Anna and the King,1999
The Longest Day,1962
Seven Years in Tibet,1997
Invictus,2009
Risen,2016
The Thin Red Line,1998
Changeling,2008
K-19: The Widowmaker,2002
The Killing Fields,1984
Mississippi Burning,1988
Thirteen Days,2000
The Favourite,2018
Alexander,2004
Flags of Our Fathers,2006
Woman in Gold,2015
Breach,2007
The 13th Warrior,1999
Patriots Day,2016
Rob Roy,1995
United 93,2006
"Good Night, and Good Luck.",2005
Elizabeth,1998
Spartacus,1960
Tora! Tora! Tora!,1970
Capote,2005
Defiance,I 2008
A Man for All Seasons,1966
The Finest Hours,2016
Glory,1989
The Other Boleyn Girl,2008
W.,I 2008
In the Heart of the Sea,2015
Quiz Show,1994
Jesus Christ Superstar,1973
Across the Universe,2007
Hotel Rwanda,2004
Caligula,1979
Pompeii,I 2014
The Lion in Winter,1968
Victoria & Abdul,2017
Empire of the Sun,1987
The Right Stuff,1983
Free State of Jones,2016
The Three Musketeers,2011
The Eagle,2011
The Impossible,2012
Frost/Nixon,2008
Operation Finale,2018
The Last King of Scotland,2006
The Zookeeper's Wife,2017
The Mission,1986
Detroit,2017
Mary Queen of Scots,2018
An American Haunting,2005
Elizabeth: The Golden Age,2007
Marie Antoinette,2006
Eddie the Eagle,2015
Hollywoodland,2006
The Messenger: The Story of Joan of Arc,1999
Les Misérables,1998
The Duchess,2008
Letters from Iwo Jima,2006
Nixon,1995
Flyboys,2006
The New World,2005
Battle of the Sexes,2017
The 33,2015
The Great Escape,1963
Foxcatcher,2014
Padmaavat,2018
The Conspirator,2010
Balto,1995
Bobby,I 2006
The Young Victoria,2009
Gettysburg,1993
Henry V,1989
Hotel Mumbai,2018
A Mighty Heart,2007
The Boy in the Striped Pajamas,2008
The Bounty,1984
The Lost City of Z,2016
Mandela: Long Walk to Freedom,2013
The Death of Stalin,2017
Taking Woodstock,2009
The Crucible,1996
1492: Conquest of Paradise,1992
The Name of the Rose,1986
Silence,I 2016
Curse of the Golden Flower,2006
Bajirao Mastani,2015
The Last Legion,2007
Gallipoli,1981
Mongol: The Rise of Genghis Khan,2007
Kundun,1997
Downfall,2004
The Counterfeiters,2007
Stan & Ollie,2018
Farewell My Concubine,1993
The Libertine,2004
True Story,I 2015
Suffragette,2015
"Lust, Caution",2007
Cold War,2018
Persepolis,2007
The Water Diviner,2014
Mr. Turner,2014
Ip Man 4: The Finale,2019
The Assassination of Jesse James by the Coward Robert Ford,2007
Jodhaa Akbar,2008
Anthropoid,2016
American Animals,2018
The Way Back,I 2010
Ip Man 3,2015
Raise the Red Lantern,1991
Pawn Sacrifice,2014
At Eternity's Gate,2018
The White Ribbon,2009
Shattered Glass,2003
Testament of Youth,2014
Che: Part One,2008
Professor Marston & the Wonder Women,2017
A Royal Affair,2012
Kon-Tiki,2012
Child 44,2015
Macbeth,I 2015
Joyeux Noel,2005
Goya's Ghosts,2006
The Assassination of Richard Nixon,2004
Sophie Scholl: The Final Days,2005
The Stanford Prison Experiment,2015
Red Cliff,2008
Agora,2009
The Baader Meinhof Complex,2008
Land of Mine,2015
Compliance,2012
Ip Man 2,2010
Serena,I 2014
The Warlords,2007
Centurion,2010
Dances with Wolves,1990
True Grit,2010
Django Unchained,2012
Wild Wild West,1999
Butch Cassidy and the Sundance Kid,1969
Maverick,1994
Unforgiven,1992
Cowboys & Aliens,2011
The Magnificent Seven,2016
The Lone Ranger,2013
Back to the Future Part III,1990
Spirit: Stallion of the Cimarron,2002
Hidalgo,2004
Open Range,2003
Shanghai Noon,2000
The Hateful Eight,2015
3:10 to Yuma,2007
The Dark Tower,2017
Australia,2008
Jeremiah Johnson,1972
The Legend of Zorro,2005
Young Guns,1988
Young Guns II,1990
A Million Ways to Die in the West,2014
Pale Rider,1985
Three Amigos!,1986
The Longest Ride,2015
Wind River,2017
Silverado,1985
The Outlaw Josey Wales,1976
Little Big Man,1970
True Grit,1969
Hostiles,2017
The Missing,I 2003
Hell or High Water,II 2016
Desperado,1995
Wyatt Earp,1994
Around the World in 80 Days,2004
An American Tail: Fievel Goes West,1991
Appaloosa,2008
The Passion of the Christ,2004
Joker,I 2019
The Sixth Sense,1999
The Blind Side,2009
The Martian,2015
Signs,2002
Saving Private Ryan,1998
Bohemian Rhapsody,2018
Interstellar,2014
Rain Man,1988
A Beautiful Mind,2001
The Help,2011
Gone Girl,2014
Hannibal,2001
Catch Me If You Can,2002
The Pursuit of Happyness,2006
The Firm,1993
Fatal Attraction,1987
American Hustle,2013
Gran Torino,2008
A Few Good Men,1992
Platoon,1986
Argo,2012
The Godfather,1972
The Departed,2006
Close Encounters of the Third Kind,1977
The Silence of the Lambs,1991
American Gangster,2007
American Beauty,1999
Rocky IV,1985
Erin Brockovich,2000
Lone Survivor,2013
Sully,2016
Rocky III,1982
Traffic,2000
Clear and Present Danger,1994
Inglourious Basterds,2009
On Golden Pond,1981
The Sum of All Fears,2002
Basic Instinct,1992
Ford v Ferrari,2019
Rocky,1976
Double Jeopardy,1999
8 Mile,2002
The Butler,I 2013
The Towering Inferno,1974
Creed II,2018
Remember the Titans,2000
Unbroken,I 2014
Girls Trip,2017
American Graffiti,1973
The Village,2004
Magic Mike,2012
One Flew Over the Cuckoo's Nest,1975
The Last Samurai,2003
Glass,2019
Creed,II 2015
A Time to Kill,1996
Terms of Endearment,1983
The Upside,2017
Pulp Fiction,1994
Baby Driver,2017
A League of Their Own,1992
Watchmen,2009
Captain Phillips,2013
Black Swan,2010
Driving Miss Daisy,1989
300: Rise of an Empire,2014
Kramer vs. Kramer,1979
Hustlers,2019
Road to Perdition,2002
The Mule,2018
Murder on the Orient Express,2017
The General's Daughter,1999
The Aviator,2004
The Girl with the Dragon Tattoo,2011
In the Line of Fire,1993
Sleeping with the Enemy,1991
Noah,2014
Collateral,2004
Contact,1997
The Pelican Brief,1993
Arrival,II 2016
Due Date,2010
Million Dollar Baby,2004
Se7en,1995
Parenthood,1989
The Color Purple,1985
The Social Network,2010
Panic Room,2002
Dead Poets Society,1989
Captain Underpants: The First Epic Movie,2017
Monster House,2006
Barnyard,2006
Storks,2016
The Rescuers,1977
The Smurfs 2,2013
Spies in Disguise,2019
Stuart Little 2,2002
The Nut Job,I 2014
Ice Age: Collision Course,2016
The Fox and the Hound,1981
Beavis and Butt-Head Do America,1996
Onward,I 2020
Abominable,2019
The Lego Ninjago Movie,2017
Surf's Up,2007
The Croods: A New Age,2020
Escape from Planet Earth,2012
Wallace & Gromit: The Curse of the Were-Rabbit,2005
ParaNorman,2012
Legend of the Guardians: The Owls of Ga'Hoole,2010
Dora and the Lost City of Gold,2019
TMNT,2007
The Tale of Despereaux,2008
The Boxtrolls,2014
The Land Before Time,1988
Kubo and the Two Strings,2016
Arthur Christmas,2011
Planet 51,2009
The Angry Birds Movie 2,2019
Treasure Planet,2002
The Wild,2006
Star Wars: The Clone Wars,2008
Final Fantasy: The Spirits Within,2001
Isle of Dogs,2018
9,I 2009
The Pirates! Band of Misfits,2012
Dragon Ball Super: Broly,2018
Garfield: A Tail of Two Kitties,2006
The Ant Bully,2006
The Rescuers Down Under,1990
All Dogs Go to Heaven,1989
Sinbad: Legend of the Seven Seas,2003
FernGully: The Last Rainforest,1992
The Iron Giant,1999
Titan A.E.,2000
The Sword in the Stone,1963
The Black Cauldron,1985
Fantastic Mr. Fox,2009
Looney Tunes: Back in Action,2003
Astro Boy,2009
Shaun the Sheep Movie,2015
The Secret World of Arrietty,2010
Bedknobs and Broomsticks,1971
DuckTales the Movie: Treasure of the Lost Lamp,1990
Missing Link,2019
Arthur and the Invisibles,2006
Ponyo,2008
Osmosis Jones,2001
The Secret of NIMH,1982
Spirited Away,2001
Weathering with You,2019
The Triplets of Belleville,2003
Loving Vincent,2017
The Last Unicorn,1982
The Transformers: The Movie,1986
Batman: Mask of the Phantasm,1993
A Scanner Darkly,2006
The Wind Rises,2013
Your Name.,2016
Howl's Moving Castle,2004
Batman: The Killing Joke,2016
Anomalisa,2015
Waking Life,2001
Dragon Ball Z: Battle of Gods,2013
Princess Mononoke,1997
The Illusionist,2010
Dumbo,1941
Jaws,1975
Pitch Perfect 3,2017
Saturday Night Fever,1977
Green Book,2018
Mr. Holland's Opus,1995
School of Rock,2003
Ray,I 2004
Magic Mike XXL,2015
Get Him to the Greek,2010
Step Up 2: The Streets,2008
Shall We Dance,2004
Sister Act 2: Back in the Habit,1993
Beaches,1988
Drumline,2002
Be Cool,2005
La Bamba,1987
Amadeus,1984
Footloose,2011
Music and Lyrics,2007
If I Stay,2014
Wayne's World 2,1993
Jersey Boys,2014
"O Brother, Where Art Thou?",2000
Up in Smoke,1978
The Lizzie McGuire Movie,2003
Step Up,2010
Bill & Ted's Excellent Adventure,1989
The Piano,1993
You Got Served,2004
Crazy Heart,2009
Bill & Ted's Bogus Journey,1991
Notorious,2009
Shine,1996
Selena,1997
The Doors,1991
Step Up Revolution,2012
Take the Lead,2006
The Pianist,2002
Almost Famous,2000
The Soloist,2009
August Rush,2007
Nick and Norah's Infinite Playlist,2008
Get Rich or Die Tryin',2005
A Night at the Roxbury,1998
Honey,2003
Spice World,1997
Confessions of a Teenage Drama Queen,2004
Florence Foster Jenkins,2016
High Fidelity,2000
That Thing You Do!,1996
Captain Corelli's Mandolin,2001
Some Like It Hot,1959
Pink Floyd: The Wall,1982
Hustle & Flow,2005
Billy Elliot,2000
Top Secret!,1984
Singles,1992
Walk Hard: The Dewey Cox Story,2007
A Mighty Wind,2003
Rock Star,2001
To Rome with Love,2012
54,1998
Begin Again,II 2013
The Commitments,1991
Step Up All In,2014
Nashville,1975
Dirty Dancing: Havana Nights,2004
Blues Brothers 2000,1998
Inside Llewyn Davis,2013
Whiplash,2014
Love & Mercy,2014
Strictly Ballroom,1992
Pump Up the Volume,1990
"The Adventures of Priscilla, Queen of the Desert",1994
The Red Shoes,1948
Raise Your Voice,2004
La Vie En Rose,2007
The Red Violin,1998
Once,I 2007
Black Snake Moan,2006
Tenacious D in the Pick of Destiny,2006
The Boat That Rocked,2009
The Rocker,2008
Gully Boy,2019
Airheads,1994
Danny Collins,2015
This Is Spinal Tap,1984
Detroit Rock City,1999
Sweet and Lowdown,1999
I'm Not There,2007
The Chorus,2004
We Are Your Friends,2015
The Runaways,2010
Sing Street,2016
Green Room,2015
Hedwig and the Angry Inch,2001
Sid and Nancy,1986
Youth,I 2015
A Night at the Opera,1935
Rab Ne Bana Di Jodi,2008
The Double Life of Véronique,1991
A Bigger Splash,2015
Coffee and Cigarettes,2003
Super 8,2011
Lucy,I 2014
Prometheus,I 2012
Terminator Salvation,2009
G.I. Joe: Retaliation,2013
Total Recall,1990
Green Lantern,2011
District 9,2009
Face/Off,1997
Star Trek IV: The Voyage Home,1986
Superman II,1980
Batman & Robin,1997
Independence Day: Resurgence,2016
The Maze Runner,2014
Pacific Rim,2013
Rampage,2018
Godzilla vs. Kong,2021
Edge of Tomorrow,2014
Unbreakable,2000
Elysium,I 2013
Blade Runner 2049,2017
Star Trek: First Contact,1996
Terminator Genisys,2015
Oblivion,I 2013
Waterworld,1995
Alita: Battle Angel,2019
Real Steel,2011
Aliens,1986
The X Files,1998
Battle Los Angeles,2011
Star Trek: The Motion Picture,1979
Teenage Mutant Ninja Turtles: Out of the Shadows,2016
Maze Runner: The Scorch Trials,2015
Congo,1995
Jumper,2008
Men in Black: International,2019
Knowing,2009
WarGames,1983
The Day the Earth Stood Still,2008
Limitless,I 2011
Star Trek II: The Wrath of Khan,1982
A.I. Artificial Intelligence,2001
Star Trek III: The Search for Spock,1984
Cocoon,1985
Star Trek: Generations,1994
Star Trek VI: The Undiscovered Country,1991
Deep Blue Sea,1999
John Carter,2012
Ocean's Eleven,2001
Ocean's Twelve,2004
Now You See Me,I 2013
Ocean's Thirteen,2007
S.W.A.T.,2003
The Hangover Part III,2013
Twins,1988
Fun with Dick and Jane,2005
Ace Ventura: When Nature Calls,1995
Analyze This,1999
The Italian Job,2003
Daredevil,2003
The Equalizer 2,2018
Gone in 60 Seconds,2000
The Equalizer,2014
Stir Crazy,1980
Eraser,1996
Con Air,1997
Charlie's Angels: Full Throttle,2003
Kingsman: The Golden Circle,2017
The Green Hornet,2011
Red Dragon,2002
The Town,2010
The Client,1994
John Wick: Chapter 2,2017
Kindergarten Cop,1990
Ride Along 2,2016
Get Hard,2015
RED,2010
Mystic River,2003
Taken 3,2014
Inside Man,2006
Starsky & Hutch,2004
Pineapple Express,2008
The Naked Gun 2½: The Smell of Fear,1991
Birds of Prey,2020
Let's Be Cops,2014
The Pink Panther,2006
Payback,I 1999
The Talented Mr. Ripley,1999
Another 48 Hrs.,1990
Disturbia,2007
Cape Fear,1991
48 Hrs.,1982
The Naked Gun: From the Files of Police Squad!,1988
Tower Heist,2011
Man on Fire,2004
Backdraft,1991
Gangs of New York,2002
Training Day,2001
The Untouchables,1987
2 Guns,2013
The Hitman's Bodyguard,2017
The Girl on the Train,2016
Four Brothers,2005
No Country for Old Men,2007
Sin City,2005
Law Abiding Citizen,2009
The Interpreter,2005
Vantage Point,2008
Get Shorty,1995
John Q,2002
Ruthless People,1986
Turner & Hooch,1989
The Score,2001
Paul Blart: Mall Cop 2,2015
White Chicks,2004
Shaft,2000
Big Momma's House 2,2006
Kill Bill: Vol. 1,2003
Swordfish,2001
Game Night,I 2018
Blue Streak,1999
Sudden Impact,1983
A Perfect Murder,1998
Heat,1995
Kangaroo Jack,2003
The Godfather: Part III,1990
Contraband,2012
The Bone Collector,1999
Kill Bill: Vol. 2,2004
Bad Boys,1995
Stakeout,1987
The Taking of Pelham 1 2 3,2009
Lethal Weapon,1987
Now You See Me 2,2016
L.A. Confidential,1997
Deja Vu,2006
Life,I 1999
A Fish Called Wanda,1988
Miami Vice,2006
Tango & Cash,1989
Rising Sun,1993
Black Mass,2015
The Fast and the Furious: Tokyo Drift,2006
Prisoners,2013
Kiss the Girls,1997
Burn After Reading,2008
Bad Santa,2003
The Last Boy Scout,1991
The Grand Budapest Hotel,2014
Jack Reacher: Never Go Back,2016
Little Man,III 2006
RoboCop,2014
Sea of Love,1989
Baywatch,2017
The Lincoln Lawyer,2011
Throw Momma from the Train,1987
Takers,2010
Boyz n the Hood,1991
Dragnet,1987
The Godfather: Part II,1974
The Whole Nine Yards,2000
U.S. Marshals,1998
Once Upon a Time in Mexico,2003
Primal Fear,1996
Romeo Must Die,2000
Snake Eyes,1998
The Jackal,1997
Crash,I 2004
"Three Billboards Outside Ebbing, Missouri",2017
Horrible Bosses 2,2014
Focus,II 2015
A Simple Favor,2018
RoboCop,1987
Papillon,1973
RED 2,2013
Blow,2001
My Cousin Vinny,1992
Southpaw,2015
Exit Wounds,2001
Sneakers,1992
The Da Vinci Code,2006
Shutter Island,2010
The Bourne Identity,2002
Eagle Eye,2008
Non-Stop,2014
Flightplan,2005
Presumed Innocent,1990
Apocalypse Now,1979
Jack Reacher,2012
Conspiracy Theory,1997
Hugo,2011
The House with a Clock in Its Walls,2018
Holes,2003
Insomnia,2002
The Forgotten,2004
Allegiant,2016
The Manchurian Candidate,2004
Unknown,I 2011
The Devil's Advocate,1997
Courage Under Fire,1996
Without a Paddle,2004
12 Monkeys,1995
Eyes Wide Shut,1999
Don't Say a Word,2001
Source Code,2011
The Abyss,1989
Paycheck,2003
The Prestige,2006
Identity,2003
Atonement,2007
The Net,I 1995
Fletch,1985
K-PAX,2001
Ad Astra,2019
Breakdown,I 1997
Sicario: Day of the Soldado,2018
Michael Clayton,2007
The Game,1997
Secret Window,2004
Premonition,I 2007
Sicario,2015
"Dude, Where's My Car?",2000
Frequency,2000
The Negotiator,1998
The Gift,VI 2015
Edge of Darkness,2010
Lady in the Water,2006
The Return of the Pink Panther,1975
High Crimes,2002
Three Days of the Condor,1975
Gosford Park,2001
Money Monster,2016
Out of Time,I 2003
2010: The Year We Make Contact,1984
Righteous Kill,2008
The Illusionist,2006
Dead Again,1991
The Dead Pool,1988
Sky Captain and the World of Tomorrow,2004
Sphere,1998
State of Play,2009
Just Cause,1995
Rear Window,1954
8MM,1999
The 'Burbs,1989
The Commuter,I 2018
The Pink Panther 2,2009
No Way Out,1987
The Number 23,2007
The World Is Not Enough,1999
Safe House,2012
Tomorrow Never Dies,1997
The Hunt for Red October,1990
Speed,1994
Salt,2010
Die Hard 2,1990
The Bourne Legacy,2012
Enemy of the State,1998
GoldenEye,1995
The Expendables,2010
Die Hard with a Vengeance,1995
Olympus Has Fallen,2013
The Book of Eli,2010
Flight,I 2012
Crimson Tide,1995
The Imitation Game,2014
Space Cowboys,2000
The Hand that Rocks the Cradle,1992
The Accountant,2016
The Expendables 2,2012
The Poseidon Adventure,1972
Cliffhanger,1993
Under Siege,1992
Patriot Games,1992
Disclosure,1994
Die Hard,1988
Unstoppable,2010
Dodgeball: A True Underdog Story,2004
42,2013
The Fighter,I 2010
Days of Thunder,1990
White Men Can't Jump,1992
Moneyball,2011
The Rookie,2002
Any Given Sunday,1999
The Cannonball Run,1981
Rocky Balboa,2006
Coach Carter,2005
Field of Dreams,1989
Friday Night Lights,2004
Tooth Fairy,I 2010
The Benchwarmers,2006
Chariots of Fire,1981
Ali,2001
Invincible,2006
Tin Cup,1996
Rookie of the Year,1993
Varsity Blues,1999
Kicking & Screaming,2005
The Color of Money,1986
Radio,2003
Bull Durham,1988
The Mighty Ducks,1992
The Hurricane,1999
Angels in the Outfield,1994
Major League,1989
The Natural,1984
D2: The Mighty Ducks,1994
Here Comes the Boom,2012
The Replacements,2000
"McFarland, USA",2015
Speed Racer,2008
Soul Surfer,2011
We Are Marshall,2006
Glory Road,2006
Fever Pitch,2005
Rocky V,1990
Blue Crush,2002
Hardball,2001
Caddyshack,1980
The Karate Kid Part III,1989
Happy Gilmore,1996
Gridiron Gang,2006
Million Dollar Arm,2014
Trouble with the Curve,2012
The Ringer,2005
For Love of the Game,1999
Concussion,2015
Semi-Pro,2008
Balls of Fury,2007
Driven,2001
Bend It Like Beckham,2002
The Sandlot,1993
The Love Guru,2008
Leatherheads,2008
The Legend of Bagger Vance,2000
Major League II,1994
"I, Tonya",2017
Grudge Match,2013
Draft Day,I 2014
Point Break,2015
Hoosiers,1986
Slap Shot,1977
Rush,I 2013
Stick It,2006
The Wrestler,2008
Mr. Woodcock,2007
The Art of Racing in the Rain,2019
Kingpin,1996
Never Back Down,2008
Ice Princess,2005
Lionheart,1990
Raging Bull,1980
Fighting,2009
Fighting with My Family,2019
D3: The Mighty Ducks,1996
Two for the Money,2005
Rudy,1993
He Got Game,1998
Little Giants,1994
Race,I 2016
Rollerball,2002
The Fan,1996
Heavyweights,1995
Fired Up!,2009
Wimbledon,2004
Over the Top,1987
The Greatest Game Ever Played,2005
Kickboxer,1989
Borg vs. McEnroe,2017
Hot Rod,2007
Warrior,2011
Playing for Keeps,2012
Whip It,2009
Undisputed,2002
Dangal,2016
Bloodsport,1988
Lords of Dogtown,2005
Victory,1981
Win Win,2011
The Next Karate Kid,1994
"Mystery, Alaska",1999
Dangerous Minds,1995
Saving Mr. Banks,2013
Born on the Fourth of July,1989
Jarhead,2005
A Beautiful Day in the Neighborhood,2019
Patton,1970
Darkest Hour,2017
Joy,I 2015
The Queen,2006
Gandhi,1982
Awakenings,1990
Lion,2016
Finding Neverland,2004
Dog Day Afternoon,1975
BlacKkKlansman,2018
Bugsy,1991
Men of Honor,2000
Mask,1985
Vice,I 2018
Goodfellas,1990
Spotlight,I 2015
Lawrence of Arabia,1962
Everest,2015
War Dogs,2016
Escape from Alcatraz,1979
Donnie Brasco,1997
Private Parts,1997
Wild,I 2014
Philomena,2013
Lawless,2012
J. Edgar,2011
Alive,1993
Freedom Writers,2007
The 15:17 to Paris,2018
The Theory of Everything,2014
Dragon: The Bruce Lee Story,1993
Midnight Express,1978
Man on the Moon,1999
Monster,2003
The Informant!,2009
October Sky,1999
Milk,I 2008
Adrift,I 2018
The Great Debaters,2007
Riding in Cars with Boys,2001
The Iron Lady,2011
Serpico,1973
A Walk in the Woods,2015
The Insider,1999
"Girl, Interrupted",1999
Molly's Game,2017
Dallas Buyers Club,2013
Frida,2002
All the Money in the World,2017
In the Name of the Father,1993
Gorillas in the Mist,1988
Fearless,2006
On the Basis of Sex,2018
Whiskey Tango Foxtrot,2016
The Postman,1994
Snowden,2016
The King and I,1956
The Disaster Artist,2017
Antwone Fisher,2002
The People vs. Larry Flynt,1996
Becoming Jane,2007
Into the Wild,2007
Only the Brave,2017
127 Hours,2010
Steve Jobs,2015
Masterminds,I 2016
The Glass Castle,2017
The Motorcycle Diaries,2004
Jobs,2013
Fruitvale Station,2013
Confessions of a Dangerous Mind,2002
The Infiltrator,2016
Alpha Dog,2006
My Left Foot,1989
My Week with Marilyn,2011
Big Eyes,I 2014
Jackie,V 2016
The Intouchables,2011
The Founder,2016
Girl with a Pearl Earring,2003
Boys Don't Cry,1999
The Old Man & the Gun,2018
The Danish Girl,2015
Michael Collins,1996
Belle,2013
Kinsey,2004
Domino,2005
The Walk,II 2015
The Lady in the Van,2015
Fair Game,I 2010
Chaplin,1992
Bernie,2011
Can You Ever Forgive Me?,2018
Pollock,2000
Sanju,2018
Trumbo,2015
Loving,2016
Beautiful Boy,I 2018
Searching for Bobby Fischer,1993
Tropic Thunder,2008
Master and Commander: The Far Side of the World,2003
Fury,2014
Stripes,1981
MASH,1970
U-571,2000
Act of Valor,2012
Private Benjamin,1980
Rules of Engagement,2000
Three Kings,1999
Behind Enemy Lines,2001
Life Is Beautiful,1997
Enemy at the Gates,2001
The Deer Hunter,1978
G.I. Jane,1997
Full Metal Jacket,1987
The Dirty Dozen,1967
The Bridge on the River Kwai,1957
Tears of the Sun,2003
Heartbreak Ridge,1986
Max,I 2015
Windtalkers,2002
Allied,2016
Red Dawn,1984
Pan's Labyrinth,2006
Green Zone,2010
The Men Who Stare at Goats,2009
1941,1979
Air America,1990
From Here to Eternity,1953
Nanny McPhee Returns,2010
The Guns of Navarone,1961
Brothers,I 2009
Hannibal Rising,2007
Memphis Belle,1990
The Best Years of Our Lives,1946
The Caine Mutiny,1954
Overlord,2018
The Book Thief,2013
Timeline,2003
Hart's War,2002
Eye in the Sky,2015
Casualties of War,1989
The Four Feathers,2002
The Hurt Locker,2008
Hair,1979
Lions for Lambs,2007
Tristan + Isolde,2006
Hamburger Hill,1987
The Quiet American,2002
Two Mules for Sister Sara,1970
The Boat,1981
The Beguiled,2017
Pathfinder,2007
Incendies,2010
The Grandmaster,2013
A Very Long Engagement,2004
Rescue Dawn,2006
"Goodbye, Children",1987
Tolkien,2019
In the Name of the King: A Dungeon Siege Tale,2007
The Railway Man,2013
Beyond Borders,2003
Black Book,2006
Uri: The Surgical Strike,2019
Ran,1985
Malena,2000
All Quiet on the Western Front,1930
The Wind that Shakes the Barley,2006
The Wall,II 2017
Son of Saul,2015
Kelly's Heroes,1970
'71,2014
Tae Guk Gi: The Brotherhood of War,2004
No Man's Land,I 2001
The General,1926
Casablanca,1942
The Hunting Party,2007
Last Flag Flying,2017
Coriolanus,2011
"Duck, You Sucker!",1971
The African Queen,1951
Seraphim Falls,2006
Official Secrets,2019
Jojo Rabbit,2019
Green Street Hooligans,2005
In the Land of Blood and Honey,2011
The Great Dictator,1940
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
The Grand Illusion,1937
Underground,1995
Tangerines,2013
Tigerland,2000
Beasts of No Nation,2015
