,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,Runtime,IMDBRating,IMDBRating,IMDBRating,IMDBRating,IMDBRating,IMDBRating,IMDBRating,IMDBRating,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore,Metascore,Votes,Votes,Votes,Votes,Votes,Votes,Votes,Votes,GrossRevenue,GrossRevenue,GrossRevenue,GrossRevenue,GrossRevenue,GrossRevenue,GrossRevenue,GrossRevenue,Action,Action,Action,Action,Action,Action,Action,Action,Adventure,Adventure,Adventure,Adventure,Adventure,Adventure,Adventure,Adventure,Animation,Animation,Animation,Animation,Animation,Animation,Animation,Animation,Biography,Biography,Biography,Biography,Biography,Biography,Biography,Biography,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Comedy,Crime,Crime,Crime,Crime,Crime,Crime,Crime,Crime,Drama,Drama,Drama,Drama,Drama,Drama,Drama,Drama,Family,Family,Family,Family,Family,Family,Family,Family,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,History,History,History,History,History,History,History,History,Horror,Horror,Horror,Horror,Horror,Horror,Horror,Horror,Music,Music,Music,Music,Music,Music,Music,Music,Musical,Musical,Musical,Musical,Musical,Musical,Musical,Musical,Mystery,Mystery,Mystery,Mystery,Mystery,Mystery,Mystery,Mystery,Romance,Romance,Romance,Romance,Romance,Romance,Romance,Romance,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sci-Fi,Sport,Sport,Sport,Sport,Sport,Sport,Sport,Sport,Thriller,Thriller,Thriller,Thriller,Thriller,Thriller,Thriller,Thriller,War,War,War,War,War,War,War,War,Western,Western,Western,Western,Western,Western,Western,Western
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Decade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,2.0,160.5,109.6,83.0,121.75,160.5,199.25,238.0,2.0,7.9,0.42,7.6,7.75,7.9,8.05,8.2,2.0,96.0,1.41,95.0,95.5,96.0,96.5,97.0,2.0,250876.5,80595.32,193887.0,222381.75,250876.5,279371.25,307866.0,2.0,191.8,9.72,184.93,188.37,191.8,195.24,198.68,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.71,0.0,0.25,0.5,0.75,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1940,3.0,94.33,28.04,70.0,79.0,88.0,106.5,125.0,3.0,7.5,0.2,7.3,7.4,7.5,7.6,7.7,3.0,95.33,4.04,91.0,93.5,96.0,97.5,99.0,3.0,124699.33,26626.91,93963.0,116679.5,139396.0,140067.5,140739.0,3.0,87.82,13.55,76.41,80.33,84.25,93.52,102.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.67,0.58,0.0,0.5,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.33,0.58,0.0,0.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.33,0.58,0.0,0.0,0.0,0.5,1.0,3.0,0.33,0.58,0.0,0.0,0.0,0.5,1.0,3.0,0.33,0.58,0.0,0.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,7.0,119.86,51.72,74.0,76.5,118.0,141.0,212.0,7.0,7.71,0.44,7.3,7.3,7.6,8.15,8.2,7.0,85.57,7.37,76.0,81.5,85.0,88.5,98.0,7.0,168391.29,73454.34,46160.0,133829.0,155777.0,224469.0,260206.0,7.0,63.02,28.81,25.0,37.7,74.7,86.2,93.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.57,0.53,0.0,0.0,1.0,1.0,1.0,7.0,0.43,0.53,0.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.29,0.49,0.0,0.0,0.0,0.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.43,0.53,0.0,0.0,0.0,1.0,1.0,7.0,0.29,0.49,0.0,0.0,0.0,0.5,1.0,7.0,0.14,0.38,0.0,0.0,0.0,0.0,1.0,7.0,0.14,0.38,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.14,0.38,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.29,0.49,0.0,0.0,0.0,0.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.29,0.49,0.0,0.0,0.0,0.5,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960,15.0,150.93,44.16,78.0,115.0,158.0,185.0,218.0,15.0,7.76,0.33,7.0,7.65,7.8,8.0,8.3,15.0,76.73,12.04,60.0,67.5,73.0,85.0,100.0,15.0,136015.93,85138.2,32295.0,63140.5,132256.0,194637.5,285780.0,15.0,81.16,46.3,28.35,41.96,72.0,108.34,163.21,15.0,0.2,0.41,0.0,0.0,0.0,0.0,1.0,15.0,0.4,0.51,0.0,0.0,0.0,1.0,1.0,15.0,0.13,0.35,0.0,0.0,0.0,0.0,1.0,15.0,0.4,0.51,0.0,0.0,0.0,1.0,1.0,15.0,0.27,0.46,0.0,0.0,0.0,0.5,1.0,15.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,15.0,0.73,0.46,0.0,0.5,1.0,1.0,1.0,15.0,0.2,0.41,0.0,0.0,0.0,0.0,1.0,15.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,15.0,0.2,0.41,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.13,0.35,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.13,0.35,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970,44.0,128.84,26.95,86.0,115.0,122.5,139.25,202.0,44.0,7.58,0.78,5.8,7.18,7.65,8.02,9.2,44.0,73.77,16.57,28.0,64.5,77.0,86.25,100.0,44.0,274102.43,388756.65,30852.0,48072.25,115990.5,261630.0,1759198.0,44.0,96.87,61.93,29.55,50.6,82.86,117.8,322.74,44.0,0.18,0.39,0.0,0.0,0.0,0.0,1.0,44.0,0.2,0.41,0.0,0.0,0.0,0.0,1.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0,44.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0,44.0,0.18,0.39,0.0,0.0,0.0,0.0,1.0,44.0,0.59,0.5,0.0,0.0,1.0,1.0,1.0,44.0,0.05,0.21,0.0,0.0,0.0,0.0,1.0,44.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0,44.0,0.07,0.25,0.0,0.0,0.0,0.0,1.0,44.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0,44.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,44.0,0.11,0.32,0.0,0.0,0.0,0.0,1.0,44.0,0.05,0.21,0.0,0.0,0.0,0.0,1.0,44.0,0.05,0.21,0.0,0.0,0.0,0.0,1.0,44.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,44.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0,44.0,0.11,0.32,0.0,0.0,0.0,0.0,1.0,44.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0,44.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0
1980,113.0,112.11,18.42,74.0,98.0,109.0,120.0,191.0,113.0,7.1,0.78,3.7,6.6,7.1,7.6,8.7,113.0,64.35,15.61,12.0,56.0,67.0,76.0,92.0,113.0,195564.15,247139.82,25677.0,55270.0,100731.0,203228.0,1238354.0,113.0,101.02,65.12,20.5,57.92,80.04,123.92,435.11,113.0,0.31,0.46,0.0,0.0,0.0,1.0,1.0,113.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,113.0,0.03,0.16,0.0,0.0,0.0,0.0,1.0,113.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,113.0,0.48,0.5,0.0,0.0,0.0,1.0,1.0,113.0,0.19,0.4,0.0,0.0,0.0,0.0,1.0,113.0,0.44,0.5,0.0,0.0,0.0,1.0,1.0,113.0,0.05,0.23,0.0,0.0,0.0,0.0,1.0,113.0,0.08,0.27,0.0,0.0,0.0,0.0,1.0,113.0,0.03,0.16,0.0,0.0,0.0,0.0,1.0,113.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,113.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,113.0,0.01,0.09,0.0,0.0,0.0,0.0,1.0,113.0,0.04,0.19,0.0,0.0,0.0,0.0,1.0,113.0,0.12,0.33,0.0,0.0,0.0,0.0,1.0,113.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,113.0,0.05,0.23,0.0,0.0,0.0,0.0,1.0,113.0,0.12,0.32,0.0,0.0,0.0,0.0,1.0,113.0,0.05,0.23,0.0,0.0,0.0,0.0,1.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990,266.0,118.02,23.02,75.0,103.0,116.0,129.0,202.0,266.0,6.9,0.87,3.6,6.4,6.9,7.4,9.0,266.0,60.11,15.38,21.0,51.0,60.0,71.0,95.0,266.0,251537.03,320767.19,26830.0,80184.75,141117.5,282287.0,1972395.0,266.0,106.75,72.44,25.81,62.68,91.4,128.4,659.33,266.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,266.0,0.24,0.43,0.0,0.0,0.0,0.0,1.0,266.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,266.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,266.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0,266.0,0.23,0.42,0.0,0.0,0.0,0.0,1.0,266.0,0.49,0.5,0.0,0.0,0.0,1.0,1.0,266.0,0.08,0.28,0.0,0.0,0.0,0.0,1.0,266.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,266.0,0.04,0.19,0.0,0.0,0.0,0.0,1.0,266.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,266.0,0.05,0.22,0.0,0.0,0.0,0.0,1.0,266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,0.13,0.33,0.0,0.0,0.0,0.0,1.0,266.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0,266.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,266.0,0.02,0.15,0.0,0.0,0.0,0.0,1.0,266.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0,266.0,0.03,0.16,0.0,0.0,0.0,0.0,1.0,266.0,0.02,0.12,0.0,0.0,0.0,0.0,1.0
2000,502.0,113.68,20.75,78.0,98.0,110.0,125.0,201.0,502.0,6.63,0.92,3.8,6.0,6.6,7.3,9.1,502.0,56.68,16.75,16.0,45.0,56.0,69.0,98.0,502.0,275062.7,278695.44,25508.0,107414.75,191225.5,347854.0,2512272.0,502.0,118.82,84.59,22.0,61.43,93.98,144.95,760.51,502.0,0.34,0.47,0.0,0.0,0.0,1.0,1.0,502.0,0.32,0.47,0.0,0.0,0.0,1.0,1.0,502.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,502.0,0.09,0.28,0.0,0.0,0.0,0.0,1.0,502.0,0.36,0.48,0.0,0.0,0.0,1.0,1.0,502.0,0.19,0.39,0.0,0.0,0.0,0.0,1.0,502.0,0.4,0.49,0.0,0.0,0.0,1.0,1.0,502.0,0.1,0.29,0.0,0.0,0.0,0.0,1.0,502.0,0.09,0.29,0.0,0.0,0.0,0.0,1.0,502.0,0.04,0.19,0.0,0.0,0.0,0.0,1.0,502.0,0.12,0.32,0.0,0.0,0.0,0.0,1.0,502.0,0.05,0.22,0.0,0.0,0.0,0.0,1.0,502.0,0.01,0.1,0.0,0.0,0.0,0.0,1.0,502.0,0.13,0.34,0.0,0.0,0.0,0.0,1.0,502.0,0.13,0.33,0.0,0.0,0.0,0.0,1.0,502.0,0.1,0.3,0.0,0.0,0.0,0.0,1.0,502.0,0.04,0.19,0.0,0.0,0.0,0.0,1.0,502.0,0.16,0.37,0.0,0.0,0.0,0.0,1.0,502.0,0.02,0.14,0.0,0.0,0.0,0.0,1.0,502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,534.0,115.75,18.55,81.0,102.0,114.0,129.0,181.0,534.0,6.75,0.87,3.3,6.2,6.8,7.4,8.8,534.0,58.92,15.83,12.0,48.0,59.0,70.0,96.0,534.0,300039.45,265800.82,25771.0,118011.75,224839.0,426831.75,2244468.0,534.0,148.92,121.2,27.37,73.13,109.99,176.94,936.66,534.0,0.43,0.5,0.0,0.0,0.0,1.0,1.0,534.0,0.46,0.5,0.0,0.0,0.0,1.0,1.0,534.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0,534.0,0.11,0.32,0.0,0.0,0.0,0.0,1.0,534.0,0.34,0.48,0.0,0.0,0.0,1.0,1.0,534.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0,534.0,0.33,0.47,0.0,0.0,0.0,1.0,1.0,534.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,534.0,0.11,0.31,0.0,0.0,0.0,0.0,1.0,534.0,0.03,0.18,0.0,0.0,0.0,0.0,1.0,534.0,0.12,0.32,0.0,0.0,0.0,0.0,1.0,534.0,0.03,0.17,0.0,0.0,0.0,0.0,1.0,534.0,0.01,0.1,0.0,0.0,0.0,0.0,1.0,534.0,0.11,0.31,0.0,0.0,0.0,0.0,1.0,534.0,0.07,0.26,0.0,0.0,0.0,0.0,1.0,534.0,0.14,0.35,0.0,0.0,0.0,0.0,1.0,534.0,0.01,0.11,0.0,0.0,0.0,0.0,1.0,534.0,0.15,0.36,0.0,0.0,0.0,0.0,1.0,534.0,0.01,0.07,0.0,0.0,0.0,0.0,1.0,534.0,0.0,0.06,0.0,0.0,0.0,0.0,1.0
2020,16.0,120.44,20.65,97.0,102.5,116.0,132.5,163.0,16.0,6.57,0.83,5.2,6.0,6.5,7.2,8.3,16.0,59.12,12.11,26.0,52.75,59.5,68.75,72.0,16.0,193505.88,101950.51,27091.0,115716.75,196542.5,277192.0,339812.0,16.0,136.34,59.19,44.54,82.38,154.52,175.81,224.54,16.0,0.81,0.4,0.0,1.0,1.0,1.0,1.0,16.0,0.62,0.5,0.0,0.0,1.0,1.0,1.0,16.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.31,0.48,0.0,0.0,0.0,1.0,1.0,16.0,0.12,0.34,0.0,0.0,0.0,0.0,1.0,16.0,0.12,0.34,0.0,0.0,0.0,0.0,1.0,16.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0,16.0,0.12,0.34,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.19,0.4,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.06,0.25,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.25,0.45,0.0,0.0,0.0,0.25,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.25,0.45,0.0,0.0,0.0,0.25,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
